date,border_patrol_women,border_patrol_men,border_patrol_minors,railway_police_women,railway_police_men,railway_police_minors
2022-03-03T15:00:00Z,3286,804,2518,0,0,0
2022-03-04T15:00:00Z,1198,237,1015,0,0,0
2022-03-05T15:00:00Z,1136,157,972,0,0,0
2022-03-06T15:00:00Z,1432,261,1221,0,0,0
2022-03-07T15:00:00Z,1556,223,1270,0,0,0
2022-03-08T15:00:00Z,1945,307,1557,0,0,0
2022-03-09T15:00:00Z,1402,211,1164,0,0,0
2022-03-10T15:00:00Z,1464,225,1177,0,0,0
2022-03-11T15:00:00Z,2411,356,1782,0,0,0
2022-03-12T15:00:00Z,1855,259,1450,0,0,0
2022-03-13T15:00:00Z,1317,258,1021,0,0,0
2022-03-14T15:00:00Z,2057,326,1710,0,0,0
2022-03-15T15:00:00Z,1563,223,1204,0,0,0
2022-03-16T15:00:00Z,1410,205,1008,0,0,0
2022-03-17T15:00:00Z,1814,273,1409,0,0,0
2022-03-18T15:00:00Z,1732,286,1262,0,0,0
2022-03-19T15:00:00Z,959,165,658,0,0,0
2022-03-20T15:00:00Z,726,172,539,0,0,0
2022-03-21T15:00:00Z,1369,301,1037,0,0,0
2022-03-22T15:00:00Z,870,151,617,0,0,0
2022-03-23T15:00:00Z,859,192,560,0,0,0
2022-03-24T15:00:00Z,1328,329,905,0,0,0
2022-03-25T15:00:00Z,436,141,301,1452,954,204
2022-03-26T15:00:00Z,829,209,551,22,15,4
2022-03-27T15:00:00Z,601,171,292,53,28,11
2022-03-28T15:00:00Z,928,289,629,58,45,9
2022-03-29T15:00:00Z,855,259,478,50,26,9
2022-03-30T15:00:00Z,578,203,398,66,22,5
2022-03-31T15:00:00Z,587,224,363,0,0,0
2022-04-01T15:00:00Z,820,264,423,118,65,15
2022-04-02T15:00:00Z,462,171,245,10,6,2
2022-04-04T15:00:00Z,1122,420,697,143,76,20
2022-04-05T15:00:00Z,612,249,362,30,9,7
2022-04-06T15:00:00Z,328,136,160,39,19,9
2022-04-07T15:00:00Z,490,218,233,44,18,3
2022-04-08T15:00:00Z,929,356,376,17,15,5
2022-04-09T15:00:00Z,402,151,182,46,33,15
2022-04-11T15:00:00Z,857,362,490,43,24,8
2022-04-12T15:00:00Z,372,156,184,24,21,3
2022-04-13T15:00:00Z,383,138,174,4,9,1
2022-04-14T15:00:00Z,397,198,219,31,25,0
2022-04-15T15:00:00Z,786,360,387,55,20,9
2022-04-16T15:00:00Z,166,114,113,43,27,4
2022-04-17T15:00:00Z,559,272,218,52,33,18
2022-04-18T15:00:00Z,292,134,109,20,3,2
2022-04-19T15:00:00Z,231,93,106,23,17,7
2022-04-20T15:00:00Z,502,292,241,30,11,9
2022-04-21T15:00:00Z,140,62,53,49,18,10
2022-04-22T15:00:00Z,486,229,205,30,27,10
2022-04-23T15:00:00Z,186,115,67,16,10,1
2022-04-24T15:00:00Z,0,0,0,0,0,0
2022-04-25T15:00:00Z,0,0,0,0,0,0
2022-04-26T15:00:00Z,624,329,315,91,44,13
2022-04-27T15:00:00Z,326,104,147,45,21,12
2022-04-28T15:00:00Z,463,203,132,27,26,5
2022-04-29T15:00:00Z,590,267,317,33,25,7
2022-04-30T15:00:00Z,0,0,0,0,0,0
2022-05-01T15:00:00Z,1372,642,455,0,0,0
2022-05-02T15:00:00Z,0,0,0,0,0,0
2022-05-03T15:00:00Z,0,0,0,97,58,19
2022-05-04T15:00:00Z,503,213,159,32,10,3
2022-05-05T15:00:00Z,332,137,102,33,19,10
2022-05-06T15:00:00Z,717,336,239,27,11,4
2022-05-07T15:00:00Z,328,166,105,33,15,2
2022-05-08T15:00:00Z,0,0,0,0,0,0
2022-05-09T15:00:00Z,635,290,241,42,32,13
2022-05-10T15:00:00Z,402,183,156,9,6,5
2022-05-11T15:00:00Z,169,105,79,24,10,3
2022-05-12T15:00:00Z,352,142,101,65,35,7
2022-05-13T15:00:00Z,453,230,108,38,16,7
2022-05-16T15:00:00Z,548,231,236,94,67,11
2022-05-17T15:00:00Z,166,75,49,8,4,1
2022-05-18T15:00:00Z,360,220,99,31,18,4
2022-05-19T15:00:00Z,358,195,96,9,9,0
2022-05-20T15:00:00Z,431,251,128,57,43,9
2022-05-23T15:00:00Z,771,416,273,113,63,27
2022-05-24T15:00:00Z,240,112,81,21,15,3
2022-05-25T15:00:00Z,371,185,92,41,18,4,371
2022-05-26T15:00:00Z,276,166,77,17,10,3
2022-05-27T15:00:00Z,501,204,169,38,20,7
2022-05-28T15:00:00Z,407,156,110,36,23,14
2022-05-29T15:00:00Z,105,57,30,89,76,12
2022-05-30T15:00:00Z,280,163,100,28,18,12
2022-05-31T15:00:00Z,351,135,106,61,44,10
2022-06-01T15:00:00Z,403,127,122,6,5,4
2022-06-02T15:00:00Z,120,52,44,4,4,1
2022-06-03T15:00:00Z,688,323,174,10,2,1
2022-06-08T15:00:00Z,1253,489,465,39,28,8
2022-06-09T15:00:00Z,275,121,85,5,5,2
2022-06-10T15:00:00Z,473,168,169,13,4,3
2022-06-11T15:00:00Z,294,105,101,17,9,1
2022-06-12T15:00:00Z,13,12,16,4,4,5
2022-06-13T15:00:00Z,446,169,209,3,2,1
2022-06-14T15:00:00Z,321,124,131,2,2,1
2022-06-15T15:00:00Z,180,89,80,4,2,1
2022-06-16T15:00:00Z,296,103,117,49,43,2
2022-06-17T15:00:00Z,473,174,170,8,4,2
2022-06-20T15:00:00Z,835,277,445,43,14,6
2022-06-21T15:00:00Z,189,73,100,6,2,4
2022-06-22T15:00:00Z,172,81,57,4,3,1
2022-06-24T15:00:00Z,1.185,408,428,30,13,6
2022-06-25T15:00:00Z,264,96,65,18,7,2
2022-06-27T15:00:00Z,250,95,117,13,7,2
2022-07-01T15:00:00Z,1.778,613,685,36,19,4
2022-07-07T15:00:00Z,1.418,575,547,0,0,0
